timestamp,cal_pm25_0,cal_pm25_1,cal_pm25_2,cal_pm25_3
1605160800,31.656536,14.004263,22.591055,39.44583
1605160801,31.656536,14.004263,22.591055,39.44583
1605160802,31.656536,14.004263,22.591055,39.969784
1605160803,31.656536,14.004263,22.591055,39.969784
1605160804,31.656536,14.004263,22.591055,39.969784
1605160805,38.920452,14.004263,22.591055,39.969784
1605160806,38.920452,14.004263,22.591055,39.969784
1605160807,38.920452,14.004263,22.591055,39.969784
1605160808,38.920452,14.004263,22.591055,40.22939
1605160809,38.920452,14.004263,22.591055,39.0053
1605160810,28.17353,14.004263,22.591055,39.0053
1605160811,28.17353,14.004263,22.591055,35.08949
1605160812,28.17353,14.004263,22.591055,35.08949
1605160813,25.74391,14.004263,22.591055,31.511782
1605160814,25.74391,14.004263,22.591055,32.4736
1605160815,25.74391,14.004263,22.591055,34.100197
1605160816,25.74391,14.004263,22.591055,35.342575
1605160817,25.74391,14.004263,22.591055,44.386173
1605160818,25.74391,14.004263,22.591055,44.386173
1605160819,25.74391,14.004263,22.591055,44.386173
1605160820,25.74391,14.004263,22.591055,44.386173
1605160821,25.74391,14.004263,22.591055,35.342575
1605160822,25.74391,14.004263,22.591055,35.342575
1605160823,25.74391,14.004263,22.591055,35.342575
1605160824,25.74391,14.004263,22.591055,34.100197
1605160825,25.808119,14.004263,22.591055,34.100197
1605160826,25.808119,14.004263,22.591055,32.4736
1605160827,25.808119,14.004263,21.791782,32.4736
1605160828,25.808119,14.004263,21.791782,32.4736
1605160829,25.808119,14.004263,21.791782,32.4736
1605160830,25.808119,14.004263,21.791782,32.4736
1605160831,25.808119,14.004263,32.88968,32.4736
1605160832,31.523182,14.004263,32.88968,32.4736
1605160833,31.523182,14.004263,32.88968,32.4736
1605160834,36.834312,14.004263,56.565426,32.4736
1605160835,36.834312,14.004263,32.88968,31.511782
1605160836,37.93935,14.004263,32.88968,31.511782
1605160837,37.93935,14.004263,32.88968,31.511782
1605160838,43.81832,14.004263,32.88968,31.511782
1605160839,44.159214,14.004263,32.88968,31.511782
1605160840,44.159214,14.004263,32.88968,31.511782
1605160841,44.159214,14.004263,32.88968,31.511782
1605160842,43.81832,14.004263,32.88968,31.511782
1605160843,43.81832,14.004263,56.565426,31.511782
1605160844,43.81832,14.004263,56.565426,31.511782
1605160845,45.260868,14.004263,66.3663,32.4736
1605160846,35.89751,14.004263,65.92814,34.100197
1605160847,31.523182,14.004263,65.92814,34.100197
1605160848,25.808119,14.004263,63.164875,34.100197
1605160849,25.808119,14.004263,43.437138,34.100197
1605160850,25.74391,14.004263,43.437138,34.100197
1605160851,25.74391,14.004263,43.437138,34.100197
1605160852,28.17353,14.004263,43.437138,34.100197
1605160853,28.17353,14.004263,43.437138,34.100197
1605160854,28.17353,14.004263,43.437138,32.4736
1605160855,28.17353,14.004263,43.437138,32.4736
1605160856,28.17353,14.004263,63.164875,32.4736
1605160857,28.17353,14.004263,63.164875,32.4736
1605160858,28.17353,14.004263,65.92814,32.4736
1605160859,25.74391,14.004263,65.92814,32.4736
1605160860,25.74391,14.004263,66.3663,32.4736
1605160861,25.74391,14.004263,56.565426,32.4736
1605160862,25.808119,14.004263,56.565426,32.4736
1605160863,25.808119,14.004263,56.565426,34.100197
1605160864,31.523182,14.004263,56.565426,34.100197
1605160865,31.523182,14.004263,56.565426,35.342575
1605160866,31.523182,14.004263,66.3663,44.386173
1605160867,31.523182,14.004263,66.3663,44.159214
1605160868,36.834312,14.004263,66.3663,44.159214
1605160869,36.834312,14.004263,66.3663,43.81832
1605160870,36.834312,14.004263,66.3663,45.260868
1605160871,31.523182,14.004263,66.3663,35.89751
1605160872,31.523182,14.004263,66.3663,46.569744
1605160873,31.523182,14.004263,66.3663,46.569744
1605160874,31.523182,14.004263,66.3663,36.834312
1605160875,25.808119,14.004263,56.565426,36.834312
1605160876,25.808119,14.004263,56.565426,36.834312
1605160877,25.808119,14.004263,32.88968,31.523182
1605160878,25.74391,14.004263,32.88968,31.523182
1605160879,25.74391,14.004263,32.88968,36.834312
1605160880,25.74391,14.004263,32.88968,36.834312
1605160881,25.74391,14.004263,32.88968,35.89751
1605160882,25.74391,14.004263,32.88968,37.93935
1605160883,25.74391,14.004263,32.88968,45.260868
1605160884,25.74391,14.004263,32.88968,44.159214
1605160885,25.74391,14.004263,32.88968,35.342575
1605160886,25.74391,14.004263,32.88968,34.100197
1605160887,25.808119,14.004263,56.565426,31.511782
1605160888,25.808119,14.004263,56.565426,35.08949
1605160889,25.808119,14.004263,63.164875,37.89943
1605160890,31.523182,14.004263,43.437138,40.22939
1605160891,31.523182,14.004263,43.437138,40.22939
1605160892,31.523182,14.004263,43.437138,39.33734
1605160893,31.523182,14.004263,43.437138,39.33734
1605160894,31.523182,14.004263,43.437138,39.33734
1605160895,31.523182,14.004263,43.437138,39.33734
1605160896,31.523182,14.004263,43.437138,40.22939
1605160897,31.523182,14.004263,43.437138,40.22939
1605160898,25.808119,14.004263,65.92814,40.22939
1605160899,25.74391,14.004263,65.92814,39.0053
1605160900,25.74391,14.004263,32.88968,39.0053
1605160901,28.17353,14.004263,32.88968,37.89943
1605160902,28.17353,14.004263,32.88968,35.08949
1605160903,38.920452,14.004263,22.591055,35.08949
1605160904,38.920452,14.004263,22.591055,31.511782
1605160905,48.123024,14.004263,22.591055,31.511782
1605160906,48.123024,14.004263,22.591055,31.511782
1605160907,48.123024,14.004263,22.591055,32.4736
1605160908,48.123024,14.004263,22.591055,34.100197
1605160909,38.920452,14.004263,21.791782,34.100197
1605160910,38.920452,14.004263,21.791782,34.100197
1605160911,28.17353,14.004263,21.791782,34.100197
1605160912,28.17353,14.004263,22.591055,34.100197
1605160913,28.17353,14.004263,22.591055,34.100197
1605160914,28.17353,14.004263,22.591055,34.100197
1605160915,28.17353,14.004263,22.591055,34.100197
1605160916,28.17353,14.004263,22.591055,34.100197
1605160917,25.74391,14.004263,22.591055,34.100197
1605160918,25.74391,14.004263,22.591055,34.100197
1605160919,25.74391,14.004263,26.301706,32.4736
